id,division,asset_type,length_km,age_years,installation_year,curve_gradient_class,monsoon_exposure,freight_density_class
SEG-001,Agra,Track,3.33,48,1977,Low-Moderate,Low,Low
SEG-002,Delhi,Track,8.57,42,1983,Low-Flat,Low,Low
SEG-003,Agra,S&T,3.87,9,2016,Medium-Moderate,Medium,Medium
SEG-004,Delhi,S&T,3.05,25,2000,High-Flat,High,Medium
SEG-005,Agra,Traction/OHE,3.19,17,2008,Low-Moderate,Low,Medium
SEG-006,Delhi,Traction/OHE,7.8,30,1995,Medium-Moderate,Medium,Medium
SEG-007,Agra,Track,6.7,32,1993,Low-Flat,Medium,High
SEG-008,Delhi,Track,3.04,20,2005,Medium-Flat,Low,Low
SEG-009,Agra,S&T,1.72,22,2003,High-Flat,Medium,High
SEG-010,Delhi,S&T,5.07,30,1995,Low-Flat,High,Medium
SEG-011,Agra,Traction/OHE,7.44,18,2007,Medium-Flat,Medium,Low
SEG-012,Delhi,Traction/OHE,6.66,43,1982,Low-Flat,High,Low
SEG-013,Agra,Track,11.33,28,1997,Low-Flat,High,Medium
SEG-014,Delhi,Track,5.44,21,2004,Medium-Flat,High,Medium
SEG-015,Agra,S&T,4.88,23,2002,Medium-Moderate,Medium,Medium
SEG-016,Delhi,S&T,0.85,31,1994,Low-Steep,Medium,Low
SEG-017,Agra,Traction/OHE,3.39,15,2010,Low-Flat,Medium,Medium
SEG-018,Delhi,Traction/OHE,0.59,46,1979,High-Moderate,High,High
SEG-019,Agra,Track,3.45,15,2010,Medium-Moderate,Low,Medium
SEG-020,Delhi,Track,14.63,35,1990,Low-Flat,Medium,Medium
SEG-021,Agra,S&T,4.31,19,2006,Medium-Flat,Medium,High
SEG-022,Delhi,S&T,4.48,20,2005,Low-Moderate,Medium,High
SEG-023,Agra,Traction/OHE,7.89,8,2017,Medium-Flat,Low,Medium
SEG-024,Delhi,Traction/OHE,5.99,27,1998,Low-Flat,Medium,Low
SEG-025,Agra,Track,14.31,12,2013,High-Moderate,Low,Medium
SEG-026,Delhi,Track,9.01,18,2007,Low-Steep,Medium,Low
SEG-027,Agra,S&T,7.25,20,2005,Medium-Flat,Medium,Medium
SEG-028,Delhi,S&T,2.23,36,1989,Low-Flat,Low,Medium
SEG-029,Agra,Traction/OHE,0.74,22,2003,Low-Moderate,Low,Low
SEG-030,Delhi,Traction/OHE,1.49,29,1996,Low-Flat,Medium,Low
SEG-031,Agra,Track,3.23,44,1981,Medium-Flat,Medium,Medium
SEG-032,Delhi,Track,10.49,35,1990,Low-Flat,High,Low
SEG-033,Agra,S&T,1.94,14,2011,Low-Moderate,High,Low
SEG-034,Delhi,S&T,7.42,42,1983,Low-Flat,Low,Low
SEG-035,Agra,Traction/OHE,4.55,36,1989,High-Steep,Low,Medium
SEG-036,Delhi,Traction/OHE,4.14,8,2017,High-Steep,High,Low
SEG-037,Agra,Track,7.08,21,2004,High-Steep,Low,Low
SEG-038,Delhi,Track,10.6,37,1988,Low-Moderate,Medium,High
SEG-039,Agra,S&T,4.57,39,1986,Low-Flat,High,Medium
SEG-040,Delhi,S&T,1.68,28,1997,Low-Moderate,Medium,High
SEG-041,Agra,Traction/OHE,2.26,40,1985,Low-Flat,Medium,Medium
SEG-042,Delhi,Traction/OHE,1.11,15,2010,High-Moderate,Medium,Low
SEG-043,Agra,Track,6.08,45,1980,Medium-Flat,Low,Medium
SEG-044,Delhi,Track,11.77,24,2001,Low-Moderate,Low,Medium
SEG-045,Agra,S&T,4.53,12,2013,Low-Moderate,Medium,Low
SEG-046,Delhi,S&T,3.27,40,1985,Low-Steep,High,High
SEG-047,Agra,Traction/OHE,6.55,18,2007,Low-Moderate,Low,High
SEG-048,Delhi,Traction/OHE,7.54,41,1984,Low-Moderate,Low,Medium
SEG-049,Agra,Track,5.66,16,2009,Low-Steep,Medium,Low
SEG-050,Delhi,Track,8.35,21,2004,Medium-Flat,Medium,Low
